text,regex,sounds,example,blend
"a","a","[""AE""]","pat","false"
"e","e","[""EH"",""IH""]","pet","false"
"i","i","[""IH""]","pit","false"
"o","o","[""AA"",""AO""]","pot","false"
"u","u","[""AH"",""UH""]","put","false"
"b","b","[""B""]","big","false"
"c","c","[""K""]","cat","false"
"d","d","[""D"",""T""]","dog","false"
"f","f","[""F""]","fig","false"
"g","g","[""G""]","get","false"
"h","h","[""HH""]","hen","false"
"j","j","[""JH""]","jet","false"
"k","k","[""K""]","kit","false"
"l","l","[""L""]","lot","false"
"m","m","[""M""]","mom","false"
"n","n","[""N"",""NG""]","nap","false"
"p","p","[""P""]","pat","false"
"qu","qu","[""K"",""K+W""]","quick","false"
"r","r","[""R"",""ER""]","rat","false"
"s","s","[""S""]","sat","false"
"t","t","[""T""]","tip","false"
"v","v","[""V""]","vet","false"
"w","w","[""W""]","wet","false"
"x","x","[""K+S"",""X""]","fox","false"
"y","y","[""Y""]","yum","false"
"z","z","[""Z""]","zip","false"
"sc","sc","[]","scan","true"
"sk","sk","[]","skip","true"
"sm","sm","[]","small","true"
"sn","sn","[]","snail","true"
"sp","sp","[]","spin","true"
"st","st","[]","stand","true"
"bl","bl","[]","blend","true"
"cl","cl","[]","climb","true"
"fl","fl","[]","floor","true"
"sl","sl","[]","slope","true"
"gl","gl","[]","glide","true"
"pl","pl","[]","place","true"
"br","br","[]","brag","true"
"cr","cr","[]","crab","true"
"dr","dr","[]","drag","true"
"fr","fr","[]","frog","true"
"gr","gr","[]","grin","true"
"pr","pr","[]","pram","true"
"tr","tr","[]","trip","true"
"mp","mp","[]","imp","true"
"nd","nd","[]","end","true"
"ft","ft","[]","soft","true"
"ld","ld","[]","held","true"
"lp","lp","[]","help","true"
"lf","lf","[]","elf","true"
"lk","lk","[]","elk","true"
"lt","lt","[]","melt","true"
"nt","nt","[]","ant","true"
"pt","pt","[]","apt","true"
"lm","lm","[]","elm","true"
"ct","ct","[]","act","true"
"xt","xt","[]","next","true"
"ll","ll","[""L""]","ball","false"
"ss","ss","[""S""]","sass","false"
"ch","ch","[""CH""]","chat","false"
"sh","sh","[""SH""]","shop","false"
"th","th","[""TH""]","thorn","false"
"th","th","[""DH""]","this","false"
"tch","tch","[""CH""]","witch","false"
"in","in","[]","ink","true"
"ing","ing","[]","sing","true"
"ink","ink","[]","sink","true"
"ang","ang","[]","bang","true"
"ank","ank","[]","bank","true"
"ong","ong","[]","long","true"
"onk","onk","[]","honk","true"
"ung","ung","[]","hung","true"
"unk","unk","[]","hunk","true"
"a-e","a.e","[""EY""]","gate","false"
"e-e","e.e","[""IY""]","pete","false"
"i-e","i.e","[""AY""]","like","false"
"o-e","o.e","[""OW""]","rope","false"
"u-e","u.e","[""Y+UW""]","cute","false"
"ay","ay","[""EY""]","hay","false"
"ai","ai","[""EY""]","paid","false"
"oa","oa","[""OW""]","coat","false"
"ow","ow","[""OW""]","low","false"
"oe","oe","[""OW""]","woe","false"
"o","o","[""OW""]","go","false"
"y","y","[""AY""]","by","false"
"i","i","[""AY""]","hi","false"
"ea","ea","[""IY""]","each","false"
"ie","ie","[""IY""]","chief","false"
"ee","ee","[""IY""]","tee","false"
"y","y","[""IY""]","lucky","false"
"ue","ue","[""UW"",""Y+UW""]","hue","false"
"oo","oo","[""UW""]","zoo","false"
"e","e","[""IY""]","be","false"
"a","a","[""EY""]","table","false"
"ar","ar","[""AA+R""]","far","false"
"or","or","[""AO+R""]","orbit","false"
"er","er","[""ER"",""EH+R""]","bigger","false"
"ir","ir","[""ER""]","fir","false"
"ur","ur","[""ER""]","fur","false"
"aw","aw","[""AO""]","saw","false"
"al","al","[""AO+L""]","walrus","false"
"all","all","[""AO+L""]","ball","false"
"oi","oi","[""OY""]","void","false"
"oy","oy","[""OY""]","toy","false"
"ou","ou","[""AW""]","loud","false"
"ow","ow","[""AW""]","now","false"
"wh","wh","[""W""]","when","false"
"mb","mb","[""M""]","climb","false"
"kn","kn","[""N""]","knack","false"
"le","le","[""AH+L""]","little","false"
"gh","gh","[""_""]","straight","false"
"oo","oo","[""UH""]","book","false"
"ear","ear","[""IH+R""]","fear","false"
"c","c","[""S""]","face","false"
"g","g","[""JH""]","magic","false"
"ph","ph","[""F""]","graph","false"
"tion","tion","[""SH+AH+N"",""SH+Y+AH+N""]","motion","true"
"ng","ng","[""NG""]","sing","false"
"dge","dge","[""JH""]","edge","false"
"ure","ure","[""ER""]","sure","false"
"oar","oar","[""AO+R""]","soar","false"
"oor","oor","[""AO+R""]","poor","false"
"our","our","[""AW+ER""]","sour","false"
"ore","ore","[""AO+R""]","more","false"
"air","air","[""EH+R""]","fair","false"
"are","are","[""EH+R""]","bare","false"
"ere","ere","[""IY+R"",""EH+R""]","here","false"
"eir","eir","[""EH+R""]","their","false"
"uar","uar","[""AA+R""]","guard","false"
"ck","ck","[""K""]","duck","false"
"s","s","[""Z""]","woods","false"
"ey","ey","[""EY""]","hey","false"
"ew","ew","[""UW"",""Y+UW""]","few","false"
"au","au","[""AO""]","sauce","false"
"ui","ui","[""UW""]","fruit","false"
"ui","ui","[""IH""]","build","false"
"ed","ed","[""D"",""T"",""IH+D"",""EH+D""]","pegged","false"
"on","on","[""AH+N""]","ton","false"
"on","on","[""EH+N""]","iron","false"
"in","in","[""IH+NG""]","ink","false"
"in","in","[""AY+N""]","find","false"
"ain","ain","[""AH+N""]","captain","false"
"ain","ain","[""EY+N""]","attain","false"
"oun","oun","[""AW+N""]","noun","false"
"igh","igh","[""AY""]","high","false"
"eigh","eigh","[""AY""]","neigh","false"
"ough","ough","[""OW""]","though","false"
"an","an","[]","tan","true"
"en","en","[]","pen","true"
"in","in","[]","pin","true"
"on","on","[]","bond","true"
"un","un","[]","fun","true"
"ff","ff","[""F""]","puff","false"
"zz","zz","[""Z""]","buzz","false"
"gg","gg","[""G""]","giggle","false"
"bb","bb","[""B""]","bubble","false"
"dd","dd","[""D""]","daddy","false"
"mm","mm","[""M""]","mommy","false"
"nn","nn","[""N""]","nanny","false"
"pp","pp","[""P""]","puppy","false"
"rr","rr","[""R""]","merry","false"
"tt","tt","[""T""]","kitty","false"
"sw","sw","[]","swing","true"
"tw","tw","[]","twig","true"
"el","el","[]","bagel","true"
"el","el","[]","motel","true"
"ol","ol","[]","told","true"
"ell","ell","[]","bell","true"
"uil","uil","[]","build","true"
"a","a","[""AO"",""AA""]","ball","false"
"a","a","[""AH""]","pita","false"
"a","a","[""EH""]","any","false"
"e","e","[""IH"",""AH""]","snoozes","false"
"i","i","[""AH""]","Jupiter","false"
"o","o","[""AH"",""UH""]","love","false"
"o","o","[""UW""]","do","false"
"u","u","[""UW""]","tofu","false"
"y","y","[""IH""]","system","false"
"an","an","[]","wand","true"
"i","i","[""IY"",""Y""]","pita","false"
"ar","ar","[""AO+R""]","war","false"
"ar","ar","[""ER""]","solar","false"
"or","or","[""ER""]","work","false"
"our","our","[""AO+R""]","four","false"
"our","our","[""ER""]","journey","false"
"ear","ear","[""ER""]","heard","false"
"ear","ear","[""EH+R""]","wear","false"
"ea","ea","[""EH""]","bread","false"
"ea","ea","[""EY""]","great","false"
"ie","ie","[""AY""]","tie","false"
"ou","ou","[""UW""]","soup","false"
"ou","ou","[""UH""]","could","false"
"oe","oe","[""AH""]","does","false"
"ey","ey","[""IY""]","monkey","false"
"ch","ch","[""K""]","school","false"
"c","c","[""SH""]","ocean","false"